case_id	subcorpus	piece	measure	onset	artifact_kind	current_value	candidate_value	status	evidence	discovered_by	fork_commit	fork_pr	notes
DLC-0011	medtner_tales	op42n01	54	1/4	harmony_label_expansion	#iii/V-family expansion on the sharp side (E#-G#-B# / A#-C#-E#-G#)	flat-side resolution matching the note table (E-G-B / A-C-E-G)	adjudicated_in_jims	The note table for mm. 51-54 spells C, G, D, A, E, B, F-sharp only; the machine expansion of #iii/V resolves against the major reference scale to E-sharp minor, a sounding chromatic semitone from the score.	JiMS expert-literature adjudication and note-table verification, 2026-08-05			Corrected inside JiMS via identifier-first score_surface adjudication records; the DCML label may be intentional under flat-side arithmetic - the defect is in the expansion semantics. No upstream submission has been made.
DLC-0012	ABC	n07op59-1_01	163	1/2	harmony_label_expansion	bvii6		flagged_needs_adjudication	Expansion members at native positions -8, -7 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0013	ABC	n08op59-2_04	321	1/2	harmony_label_expansion	bIII2		flagged_needs_adjudication	Expansion members at native positions -11, -9, -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0014	ABC	n09op59-3_01	193	0	harmony_label_expansion	iiio2		flagged_needs_adjudication	Expansion members at native positions -11, -8, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0015	ABC	n10op74_01	114	0	harmony_label_expansion	viio7/biii		flagged_needs_adjudication	Expansion members at native positions -13, -10, -7 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0016	ABC	n14op131_02	61	3/8	harmony_label_expansion	viio7/ii		flagged_needs_adjudication	Expansion members at native positions -8, -5 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0017	ABC	n14op131_02	62	3/8	harmony_label_expansion	viio7/ii		flagged_needs_adjudication	Expansion members at native positions -8, -5, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0018	ABC	n14op131_02	134	3/8	harmony_label_expansion	viio7/ii		flagged_needs_adjudication	Expansion members at native positions -8, -5 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0019	ABC	n14op131_02	135	0	harmony_label_expansion	viio7/ii		flagged_needs_adjudication	Expansion members at native positions -8, -5, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0020	ABC	n14op131_02	135	3/8	harmony_label_expansion	viio7/ii		flagged_needs_adjudication	Expansion members at native positions -8, -5, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0021	bach_solo	BWV1003_03_Andante	20	0	harmony_label_expansion	V6(b2)/ii		flagged_needs_adjudication	Expansion members at native positions 2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0022	bartok_bagatelles	op06n01	6	1/2	harmony_label_expansion	biv(+#5#4)		flagged_needs_adjudication	Expansion members at native positions 6 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0023	bartok_bagatelles	op06n09	33	0	harmony_label_expansion	io7(+b4^bb3)		flagged_needs_adjudication	Expansion members at native positions -19, -11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0024	chopin_mazurkas	BI89-4op24-4	4	3/8	harmony_label_expansion	##vio		flagged_needs_adjudication	Expansion members at native positions 8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0025	grieg_lyric_pieces	op47n07	84	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0026	grieg_lyric_pieces	op47n07	92	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0027	grieg_lyric_pieces	op47n07	15	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0028	grieg_lyric_pieces	op47n07	7	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0029	grieg_lyric_pieces	op47n07	45	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0030	grieg_lyric_pieces	op47n07	53	0	harmony_label_expansion	viio7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0031	grieg_lyric_pieces	op62n05	46	0	harmony_label_expansion	i6(#7)		flagged_needs_adjudication	Expansion members at native positions 10 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0032	grieg_lyric_pieces	op68n06	134	0	harmony_label_expansion	I6(b6)/#VII		flagged_needs_adjudication	Expansion members at native positions 6, 10, 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0033	grieg_lyric_pieces	op68n06	134	1/2	harmony_label_expansion	I6/#VII		flagged_needs_adjudication	Expansion members at native positions 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0034	grieg_lyric_pieces	op68n06	136	0	harmony_label_expansion	vii%43/#VII		flagged_needs_adjudication	Expansion members at native positions 13, 15 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0035	grieg_lyric_pieces	op68n06	138	0	harmony_label_expansion	I6(6)/#VII		flagged_needs_adjudication	Expansion members at native positions 13, 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0036	grieg_lyric_pieces	op68n06	140	0	harmony_label_expansion	viio43/bII		flagged_needs_adjudication	Expansion members at native positions -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0037	grieg_lyric_pieces	op68n06	62	0	harmony_label_expansion	I6(b6)/#VII		flagged_needs_adjudication	Expansion members at native positions 6, 10, 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0038	grieg_lyric_pieces	op68n06	62	1/2	harmony_label_expansion	I6/#VII		flagged_needs_adjudication	Expansion members at native positions 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0039	grieg_lyric_pieces	op68n06	64	0	harmony_label_expansion	vii%43/#VII		flagged_needs_adjudication	Expansion members at native positions 13, 15 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0040	grieg_lyric_pieces	op68n06	66	0	harmony_label_expansion	I6(6)/#VII		flagged_needs_adjudication	Expansion members at native positions 13, 14 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0041	grieg_lyric_pieces	op68n06	68	0	harmony_label_expansion	viio43/bII		flagged_needs_adjudication	Expansion members at native positions -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0042	liszt_pelerinage	162.03_Tarantella_da_Guillaume_Louis_Cottrau._Presto_e_canzone_napolitana	322	3/8	harmony_label_expansion	#II64		flagged_needs_adjudication	Expansion members at native positions 11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0043	medtner_tales	op26n03	48	0	harmony_label_expansion	V7(b96b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11, -5, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0044	medtner_tales	op26n03	48	1/4	harmony_label_expansion	V7(9b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0045	medtner_tales	op26n03	48	1/2	harmony_label_expansion	V7(b9b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0046	medtner_tales	op26n03	52	0	harmony_label_expansion	V7(b96b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11, -5, -2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0047	medtner_tales	op26n03	52	1/4	harmony_label_expansion	V7(9b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0048	medtner_tales	op26n03	52	1/2	harmony_label_expansion	V7(b9b5)/bVI		flagged_needs_adjudication	Expansion members at native positions -11 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0049	medtner_tales	op34n01	106	1/2	harmony_label_expansion	V64(b6)/iv		flagged_needs_adjudication	Expansion members at native positions -13 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0050	medtner_tales	op34n02	36	1/4	harmony_label_expansion	Fr7(#2)		flagged_needs_adjudication	Expansion members at native positions 1 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0051	medtner_tales	op34n02	10	1/4	harmony_label_expansion	Fr7(#2)		flagged_needs_adjudication	Expansion members at native positions 1 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0052	medtner_tales	op34n02	20	3/8	harmony_label_expansion	viio6/iv		flagged_needs_adjudication	Expansion members at native positions -11, -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0053	medtner_tales	op34n02	24	3/8	harmony_label_expansion	viio6/iv		flagged_needs_adjudication	Expansion members at native positions -11, -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0054	medtner_tales	op35n01	69	1/4	harmony_label_expansion	Fr6(#2)/iv/ii		flagged_needs_adjudication	Expansion members at native positions 10 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0055	rachmaninoff_piano	op42_16	6	7/8	harmony_label_expansion	II65(#6b2)		flagged_needs_adjudication	Expansion members at native positions 4 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0056	rachmaninoff_piano	op42_20	12	3/8	harmony_label_expansion	bVI(^#2)/III		flagged_needs_adjudication	Expansion members at native positions 10 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0057	ravel_piano	Ravel_-_Miroirs_III._Une_Barque_sur_l'ocean	126	0	harmony_label_expansion	I7(b6)		flagged_needs_adjudication	Expansion members at native positions -10 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0058	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_1_stomp	7	0	harmony_label_expansion	bVM7(#4)/V		flagged_needs_adjudication	Expansion members at native positions 6 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0059	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_1_stomp	21	0	harmony_label_expansion	bIV7(#54#2)		flagged_needs_adjudication	Expansion members at native positions 3 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0060	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_1_stomp	29	5/8	harmony_label_expansion	bII7(#4)		flagged_needs_adjudication	Expansion members at native positions 6 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0061	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_3_waltz	25	1/2	harmony_label_expansion	bI7(^b6+#3#2)		flagged_needs_adjudication	Expansion members at native positions -8 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0062	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_3_waltz	59	0	harmony_label_expansion	bIV7(9+b64)		flagged_needs_adjudication	Expansion members at native positions -12 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0063	schulhoff_suite_dansante_en_jazz	suite_dansante_en_jazz_4_tango	12	0	harmony_label_expansion	i7(+96b4)/bV		flagged_needs_adjudication	Expansion members at native positions -16 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0064	wf_bach_sonatas	F001_n08b	27	0	harmony_label_expansion	V6(b2)/iv		flagged_needs_adjudication	Expansion members at native positions 2 have pitch classes that never sound in the annotated span (semitone-neighbor or absent), per the JiMS data-chain audit.	JiMS data-chain audit, 2026-08-05			Staff-first verification required before any functional adjudication; tracked in JiMS Temp/data-chain-audit/detail.json. No upstream submission has been made.
DLC-0065	ABC	n01op18-1_01	62	1/2	harmony_label_expansion	viio64/vi expansion Db-Bb-G (shipped JiMS name So:Ti5/Ra)	uniform +7-fifths correction D-B-G# (corrected JiMS name Si:Ti5/Re)	adjudicated_in_jims	Expansion member(s) at native fifths position(s) -7, -4, -1 never sound in the annotated span while their chromatic-semitone (+7 fifths) neighbors do - the dropped-sharpening signature - and the uniform +7 correction (every member, root, and bass raised) matches the staff (verdict verified_exact), per the JiMS applied-diminished expansion audit of 2026-08-06.	JiMS applied-diminished expansion audit, 2026-08-06			Owner adopted the uniform +7 score_surface adjudication inside JiMS on 2026-08-06 (tier uniform_plus7_verified); evidence in JiMS Temp/appdim-audit/detail.json; the DCML label itself may be intentional shorthand - the defect is in the machine expansion. No upstream submission has been made.
DLC-0066	ABC	n03op18-3_04	234	5/8	harmony_label_expansion	viio6/ii expansion Ab-F-D (shipped JiMS name Do:Ti5/Me)	uniform +7-fifths correction A-F#-D# (corrected JiMS name Di:Ti5/Mi)	adjudicated_in_jims	Expansion member(s) at native fifths position(s) -8, -5, -2 never sound in the annotated span while their chromatic-semitone (+7 fifths) neighbors do - the dropped-sharpening signature - and the uniform +7 correction (every member, root, and bass raised) matches the staff (verdict verified_exact), per the JiMS applied-diminished expansion audit of 2026-08-06.	JiMS applied-diminished expansion audit, 2026-08-06			Owner adopted the uniform +7 score_surface adjudication inside JiMS on 2026-08-06 (tier uniform_plus7_verified); evidence in JiMS Temp/appdim-audit/detail.json; the DCML label itself may be intentional shorthand - the defect is in the machine expansion. No upstream submission has been made.
